DATE,NASDAQ100
2008-01-02,2049.71
2008-01-03,2051.76
2008-01-04,1963.52
2008-01-07,1957.44
2008-01-08,1910.33
2008-01-09,1949.20
2008-01-10,1953.64
2008-01-11,1912.81
2008-01-14,1949.15
2008-01-15,1894.09
2008-01-16,1872.29
2008-01-17,1842.10
2008-01-18,1844.09
2008-01-21,.
2008-01-22,1795.61
2008-01-23,1789.53
2008-01-24,1826.92
2008-01-25,1789.17
2008-01-28,1805.08
2008-01-29,1807.67
2008-01-30,1808.51
2008-01-31,1841.42
2008-02-01,1855.27
2008-02-04,1828.80
2008-02-05,1773.49
2008-02-06,1740.95
2008-02-07,1753.30
2008-02-08,1773.74
2008-02-11,1793.09
2008-02-12,1780.54
2008-02-13,1823.00
2008-02-14,1787.59
2008-02-15,1780.38
2008-02-18,.
2008-02-19,1764.81
2008-02-20,1787.45
2008-02-21,1766.30
2008-02-22,1773.44
2008-02-25,1785.46
2008-02-26,1791.31
2008-02-27,1799.94
2008-02-28,1794.46
2008-02-29,1745.27
2008-03-03,1733.27
2008-03-04,1743.70
2008-03-05,1753.57
2008-03-06,1712.50
2008-03-07,1707.50
2008-03-10,1673.03
2008-03-11,1740.95
2008-03-12,1735.18
2008-03-13,1750.40
2008-03-14,1713.83
2008-03-17,1687.19
2008-03-18,1761.05
2008-03-19,1715.59
2008-03-20,1751.99
2008-03-21,.
2008-03-24,1814.40
2008-03-25,1824.54
2008-03-26,1817.28
2008-03-27,1777.89
2008-03-28,1767.57
2008-03-31,1781.93
2008-04-01,1855.48
2008-04-02,1848.80
2008-04-03,1855.19
2008-04-04,1865.87
2008-04-07,1860.83
2008-04-08,1846.14
2008-04-09,1826.19
2008-04-10,1852.97
2008-04-11,1798.72
2008-04-14,1790.93
2008-04-15,1794.73
2008-04-16,1846.89
2008-04-17,1840.88
2008-04-18,1900.28
2008-04-21,1913.12
2008-04-22,1881.65
2008-04-23,1906.66
2008-04-24,1924.58
2008-04-25,1918.58
2008-04-28,1923.26
2008-04-29,1933.60
2008-04-30,1917.70
2008-05-01,1980.44
2008-05-02,1981.87
2008-05-05,1975.82
2008-05-06,1990.61
2008-05-07,1951.42
2008-05-08,1966.86
2008-05-09,1960.29
2008-05-12,1997.02
2008-05-13,2000.61
2008-05-14,1997.30
2008-05-15,2031.34
2008-05-16,2031.27
2008-05-19,2016.60
2008-05-20,2000.67
2008-05-21,1956.80
2008-05-22,1964.92
2008-05-23,1958.96
2008-05-26,.
2008-05-27,1995.44
2008-05-28,2000.07
2008-05-29,2019.02
2008-05-30,2032.57
2008-06-02,2006.84
2008-06-03,1996.79
2008-06-04,2021.45
2008-06-05,2055.11
2008-06-06,1990.39
2008-06-09,1979.71
2008-06-10,1972.54
2008-06-11,1924.33
2008-06-12,1924.26
2008-06-13,1966.01
2008-06-16,1984.76
2008-06-17,1972.82
2008-06-18,1951.10
2008-06-19,1982.69
2008-06-20,1928.39
2008-06-23,1913.31
2008-06-24,1903.74
2008-06-25,1933.86
2008-06-26,1855.39
2008-06-27,1855.72
2008-06-30,1837.09
2008-07-01,1862.71
2008-07-02,1816.15
2008-07-03,1816.35
2008-07-04,.
2008-07-07,1826.93
2008-07-08,1871.28
2008-07-09,1819.18
2008-07-10,1839.57
2008-07-11,1810.88
2008-07-14,1798.03
2008-07-15,1798.35
2008-07-16,1843.87
2008-07-17,1853.47
2008-07-18,1823.23
2008-07-21,1819.76
2008-07-22,1821.62
2008-07-23,1845.56
2008-07-24,1816.98
2008-07-25,1846.55
2008-07-28,1802.99
2008-07-29,1845.55
2008-07-30,1852.80
2008-07-31,1849.15
2008-08-01,1826.56
2008-08-04,1804.84
2008-08-05,1869.76
2008-08-06,1895.21
2008-08-07,1880.09
2008-08-08,1926.23
2008-08-11,1941.23
2008-08-12,1941.07
2008-08-13,1942.02
2008-08-14,1964.38
2008-08-15,1957.56
2008-08-18,1932.70
2008-08-19,1908.68
2008-08-20,1913.02
2008-08-21,1906.74
2008-08-22,1931.47
2008-08-25,1889.72
2008-08-26,1886.32
2008-08-27,1900.30
2008-08-28,1915.12
2008-08-29,1872.54
2008-09-01,.
2008-09-02,1850.14
2008-09-03,1833.09
2008-09-04,1774.78
2008-09-05,1768.23
2008-09-08,1762.95
2008-09-09,1721.55
2008-09-10,1738.07
2008-09-11,1773.65
2008-09-12,1767.13
2008-09-15,1705.46
2008-09-16,1724.08
2008-09-17,1632.45
2008-09-18,1697.42
2008-09-19,1745.06
2008-09-22,1665.94
2008-09-23,1648.40
2008-09-24,1661.33
2008-09-25,1687.55
2008-09-26,1672.04
2008-09-29,1496.15
2008-09-30,1584.60
2008-10-01,1563.80
2008-10-02,1491.11
2008-10-03,1470.84
2008-10-06,1411.28
2008-10-07,1329.01
2008-10-08,1330.01
2008-10-09,1275.10
2008-10-10,1269.80
2008-10-13,1429.54
2008-10-14,1364.59
2008-10-15,1244.23
2008-10-16,1312.97
2008-10-17,1311.72
2008-10-20,1352.76
2008-10-21,1283.43
2008-10-22,1237.09
2008-10-23,1239.16
2008-10-24,1202.27
2008-10-27,1169.78
2008-10-28,1297.57
2008-10-29,1302.12
2008-10-30,1333.94
2008-10-31,1334.78
2008-11-03,1334.75
2008-11-04,1378.40
2008-11-05,1299.98
2008-11-06,1241.97
2008-11-07,1271.62
2008-11-10,1251.00
2008-11-11,1225.59
2008-11-12,1165.38
2008-11-13,1240.93
2008-11-14,1179.63
2008-11-17,1151.96
2008-11-18,1155.75
2008-11-19,1087.60
2008-11-20,1036.51
2008-11-21,1085.57
2008-11-24,1154.34
2008-11-25,1142.58
2008-11-26,1193.09
2008-11-27,.
2008-11-28,1185.75
2008-12-01,1091.16
2008-12-02,1130.00
2008-12-03,1166.20
2008-12-04,1127.75
2008-12-05,1177.87
2008-12-08,1225.06
2008-12-09,1212.45
2008-12-10,1222.38
2008-12-11,1180.46
2008-12-12,1206.65
2008-12-15,1181.87
2008-12-16,1243.49
2008-12-17,1225.86
2008-12-18,1204.69
2008-12-19,1217.19
2008-12-22,1189.15
2008-12-23,1183.19
2008-12-24,1184.30
2008-12-25,.
2008-12-26,1185.44
2008-12-29,1173.15
2008-12-30,1201.34
2008-12-31,1211.65
2009-01-01,.
2009-01-02,1263.70
2009-01-05,1262.52
2009-01-06,1274.49
2009-01-07,1238.60
2009-01-08,1252.52
2009-01-09,1223.01
2009-01-12,1201.13
2009-01-13,1202.65
2009-01-14,1163.42
2009-01-15,1183.52
2009-01-16,1198.14
2009-01-19,.
2009-01-20,1136.61
2009-01-21,1185.76
2009-01-22,1168.08
2009-01-23,1175.89
2009-01-26,1184.56
2009-01-27,1194.41
2009-01-28,1235.91
2009-01-29,1203.85
2009-01-30,1180.25
2009-02-02,1195.75
2009-02-03,1215.66
2009-02-04,1215.43
2009-02-05,1245.11
2009-02-06,1277.49
2009-02-09,1281.65
2009-02-10,1229.29
2009-02-11,1227.05
2009-02-12,1242.81
2009-02-13,1236.85
2009-02-16,.
2009-02-17,1187.04
2009-02-18,1188.77
2009-02-19,1167.89
2009-02-20,1172.71
2009-02-23,1128.97
2009-02-24,1171.45
2009-02-25,1160.83
2009-02-26,1127.10
2009-02-27,1116.99
2009-03-02,1076.67
2009-03-03,1080.67
2009-03-04,1110.30
2009-03-05,1074.52
2009-03-06,1064.70
2009-03-09,1043.87
2009-03-10,1112.44
2009-03-11,1125.95
2009-03-12,1164.71
2009-03-13,1168.52
2009-03-16,1145.45
2009-03-17,1192.17
2009-03-18,1206.96
2009-03-19,1204.21
2009-03-20,1187.18
2009-03-23,1259.81
2009-03-24,1235.42
2009-03-25,1236.66
